symbol;district;city;category
SZ;Zabrze;Zabrze;miasto
SZO;Żory;Żory;miasto
SBE;będziński;Będzin;miasto lub powiat
SBI;bielski;Bielsko-Biała;powiat
SBL;bieruńsko-lędziński;Bieruńsko-Lędziński;miasto lub powiat
SCI;cieszyński;Cieszyn;miasto lub powiat
SCZ;częstochowski;Częstochowa;powiat
SGL;gliwicki;Gliwice;powiat
SKL;kłobucki;Kłobuck;miasto lub powiat
SLU;lubliniecki;Lubliniec;miasto lub powiat
SMI;mikołowski;Mikołów;miasto lub powiat
SMY;myszkowski;Myszków;miasto lub powiat
SPS;pszczyński;Pszczyna;miasto lub powiat
SRC;raciborski;Racibórz;miasto lub powiat
SRB;rybnicki;Rybnik;powiat
STA;tarnogórski;Tarnowskie Góry;miasto lub powiat
SWD;wodzisławski;Wodzisław Śląski;powiat
SWZ;wodzisławski;Wodzisław Śląski;powiat
SZA;zawierciański;Zawiercie;miasto lub powiat
SZY;żywiecki;Żywiec;miasto lub powiat
TK;Kielce;Kielce;miasto
TBU;buski;Busko Zdrój;miasto lub powiat
TJE;jędrzejowski;Jędrzejów;miasto lub powiat
TKA;kazimierski;Kazimierza Wielka;miasto lub powiat
TKI;kielecki;Kielce;powiat
TKN;konecki;Końskie;miasto lub powiat
TOP;opatowski;Opatów;miasto lub powiat
TOS;ostrowiecki;Ostrowiec Świętokrzyski;miasto lub powiat
TPI;pińczowski;Pińczów;miasto lub powiat
TSA;sandomierski;Sandomierz;miasto lub powiat
TSK;skarżyski;Skarżysko-Kamienna;miasto lub powiat
TST;starachowicki;Starachowice;miasto lub powiat
TSZ;staszowski;Staszów;miasto lub powiat
TLW;włoszczowski;Włoszczowa;miasto lub powiat
WO;Ostrołęka;Ostrołęka;miasto
WP;Płock;Płock;miasto
WR;Radom;Radom;miasto
WS;Siedlce;Siedlce;miasto
WB;Warszawa Bemowo;Warszawa;miasto
WA;Warszawa Białołęka;Warszawa;miasto
WD;Warszawa Bielany;Warszawa;miasto
WE;Warszawa Mokotów;Warszawa;miasto
WU;Warszawa Ochota;Warszawa;miasto
WH;Warszawa Praga Północ;Warszawa;miasto
WF;Warszawa Praga Południe;Warszawa;miasto
WW;Warszawa Rembertów;Warszawa;miasto
WW;Warszawa Wilanów;Warszawa;miasto
WW;Warszawa Włochy;Warszawa;miasto
WI;Warszawa Śródmieście;Warszawa;miasto
WJ;Warszawa Targówek;Warszawa;miasto
WK;Warszawa Ursus;Warszawa;miasto
WN;Warszawa Ursynów;Warszawa;miasto
WT;Warszawa Wawer;Warszawa;miasto
WX;Warszawa Wesoła;Warszawa;miasto
WX;Warszawa Żoliborz;Warszawa;miasto
WY;Warszawa Wola;Warszawa;miasto
WBR;białobrzeski;Białobrzegi;miasto lub powiat
WCI;ciechanowski;Ciechanów;miasto lub powiat
WG;garwoliński;Garwolin;miasto lub powiat
WGS;gostyniński;Gostynin;miasto lub powiat
WGM;grodziski;Grodzisk Mazowiecki;miasto lub powiat
WGR;grójecki;Grójec;miasto lub powiat
WKZ;kozienicki;Kozienice;miasto lub powiat
WL;legionowski;Legionowo;miasto lub powiat
WLI;lipski;Lipsko;miasto lub powiat
WMA;makowski;Maków Mazowiecki;miasto lub powiat
WM;miński;Mińsk Mazowiecki;miasto lub powiat
WML;mławski;Mława;miasto lub powiat
WND;nowodworski;Nowy Dwór Mazowiecki;miasto lub powiat
WOR;ostrowski;Ostrów Mazowiecka;miasto lub powiat
WOS;ostrołęcki;Ostrołęka;powiat
WOT;otwocki;Otwock;miasto lub powiat
WPI;piaseczyński;Piaseczno;miasto lub powiat
WPR;pruszkowski;Pruszków;powiat
WPP;pruszkowski;Płońsk;powiat
WPS;pruszkowski;Pruszków;powiat
WPZ;przasnyski;Przasnysz;miasto lub powiat
WPY;przysuski;Przysucha;miasto lub powiat
WPU;pułtuski;Pułtusk;miasto lub powiat
WPL;płocki;Płock;powiat
WPN;płoński;Płońsk;powiat
WRA;radomski;Radom;powiat
WSI;siedlecki;Sierpc;powiat
WSE;sierpecki;Sierpc;powiat
WSC;sochaczewski;Sochaczew;miasto lub powiat
WSK;sokołowski;Sokołów Podlaski;miasto lub powiat
WSZ;szydłowiecki;Szydłowiec;miasto lub powiat
WZ;warszawski zachodni;Warszawa Zachód;miasto lub powiat
WWE;węgrowski;Węgrów;miasto lub powiat
WWL;wołomiński;Wołomin;miasto lub powiat
WV;wołomiński;Wołomin;miasto lub powiat
WWY;wyszkowski;Wyszków;miasto lub powiat
WZU;żuromiński;Żuromin;miasto lub powiat
WZW;zwoleński;Zwoleń;miasto lub powiat
WZY;żyrardowski;Żyrardów;miasto lub powiat
WLS;łosicki;Łosice;miasto lub powiat
ZK;Koszalin;Koszalin;miasto
ZSW;Świnoujście;Świnoujście;miasto
ZS;Szczecin;Szczecin;miasto
ZZ;Szczecin;Szczecin;miasto
ZBI;białogardzki;Białogard;miasto lub powiat
ZCH;choszczeński;Choszczno;miasto lub powiat
ZDR;drawski;Drawsko Pomorskie;miasto lub powiat
ZGL;goleniowski;Goleniów;miasto lub powiat
ZGY;gryficki;Gryfice;miasto lub powiat
ZGR;gryfiński;Gryfino;miasto lub powiat
ZKA;kamieński;Kamień Pomorski;miasto lub powiat
ZKO;koszaliński;Koszalin;powiat
ZKL;kołobrzeski;Kołobrzeg;miasto lub powiat
ZMY;myśliborski;Myślibórz;miasto lub powiat
ZPL;policki;Police;miasto lub powiat
ZPY;pyrzycki;Pyrzyce;miasto lub powiat
ZST;stargardzki;Stargard Szczeciński;miasto lub powiat
ZSD;świdwiński;Świdwin;miasto lub powiat
ZSZ;szczecinecki;Szczecinek;miasto lub powiat
ZSL;sławieński;Sławno;miasto lub powiat
ZWA;wałecki;Wałcz;miasto lub powiat
ZLO;łobeski;Łobez;miasto lub powiat
